source_url	parsed_url
https://regex101.com/	mailto:contact@regex101.com
https://regex101.com/	https://twitter.com/regex101
https://regex101.com/	https://regex101.com/static/assets/apple-icon-60x60.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-180x180.png
https://regex101.com/	https://regex101.com/static/assets/favicon-96x96.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-144x144.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-114x114.png
https://regex101.com/	http://enable-javascript.com/
https://regex101.com/	https://regex101.com/static/assets/apple-icon-57x57.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-120x120.png
https://regex101.com/	https://regex101.com/static/assets/favicon.ico
https://regex101.com/	https://regex101.com/static/assets/android-icon-192x192.png
https://regex101.com/	https://regex101.com/tests
https://regex101.com/	https://regex101.com/static/assets/apple-icon-152x152.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-76x76.png
https://regex101.com/	https://regex101.com/
https://regex101.com/	https://regex101.com/static/assets/apple-icon-72x72.png
https://regex101.com/	https://regex101.com/static/assets/favicon-32x32.png
https://regex101.com/	https://github.com/firasdib/Regex101/issues
https://regex101.com/	https://regex101.com/static/assets/favicon-16x16.png
https://regex101.com/	https://github.com/firasdib/Regex101/wiki
https://regex101.com/	https://www.paypal.com/cgi-bin/webscr?cmd=_donations&amp;business=firas%2edib%40gmail%2ecom&amp;lc=US&amp;item_name=Regex101&amp;no_note=0&amp;currency_code=USD&amp;bn=PP%2dDonationsBF%3abtn_donate_SM%2egif%3aNonHostedGuest
https://regex101.com/	https://regex101.com/static/bundle.3e63013fcb2c254ca077.css
https://1.1.1.1/	https://1.1.1.1
https://1.1.1.1/	https://www.dnsperf.com/#!dns-resolvers
https://1.1.1.1/	https://blog.cloudflare.com/1111-warp-better-vpn/
https://1.1.1.1/	https://1.1.1.1/dns/
https://1.1.1.1/	https://1.1.1.1/site-7666e977562fb8ca1dee.css
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://1.1.1.1/media/manifest.json
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://1.1.1.1/	https://1.1.1.1/#a
https://1.1.1.1/	https://1.1.1.1/#b
https://1.1.1.1/	https://1.1.1.1/favicon.ico
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20in%20line%20to%20get%201.1.1.1%20with%20Warp%2C%20a%20free%20app%20which%20will%20make%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20to%20reserve%20a%20place%20in%20line%3A%20https%3A//one.one.one.one
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/gallery
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/matt-wuerker
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-144x144.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/live-events/upcoming
https://www.politico.com/tipsheets/morning-money	https://www.bloomberg.com/news/articles/2019-04-25/world-trade-volumes-are-plunging-at-the-fastest-pace-in-a-decade?srnd=markets-vp
https://www.politico.com/tipsheets/morning-money	https://www.wsj.com/articles/help-wanted-regulators-seek-executives-to-staff-failed-banks-11556184601
https://www.politico.com/tipsheets/morning-money	https://www.politico.eu/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-114x114.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/agenda/future-of-prosperity
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2019/04/23/wh-pushes-back-on-usmca-427722
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/android-chrome-192x192.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/staff/aubree-eliza-weaver
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/magazine/story/2019/04/25/white-house-correspondents-dinner-trump-226713
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/story/2019/04/27/trump-wisconsin-rally-1291372
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/magazine/what-works-next/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/faq
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/finance
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/staff/christopher-cadelago
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/sitemap
https://www.politico.com/tipsheets/morning-money	https://www.reuters.com/article/us-usa-stocks/sp-500-nudges-lower-as-industrials-drag-idUSKCN1S11G8
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/staff/tim-alberta
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/blogs/under-the-radar
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/privacy-policy
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-180x180.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/energy-and-environment
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/article/2019/04/morgan-stanley-to-pay-california-150m-in-connection-with-mbs-sales-3140649
https://www.politico.com/tipsheets/morning-money	https://www.apnews.com/cf3be6c28e824dc8be81122d0e4b9f77
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/subscriptions
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/advertising
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/playbook-pm
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/congress
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/c73c7f7/2147483647/legacy_thumbnail/57x57/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/podcasts
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/story/2019/04/27/san-diego-synagogue-shooting-1291370
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/subscribe/breaking-news-alerts
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-152x152.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2019/04/25/welcome-to-biden-day-428586
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/story/2019/04/28/donald-trump-bernie-sanders-biden-1291377
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/magazine/thedeciders
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/states/new-jersey
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/transportation
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/cartoon-carousel
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/technology
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/story/2019/04/26/trump-mueller-report-1290335
https://www.politico.com/tipsheets/morning-money	https://twitter.com/politico
https://www.politico.com/tipsheets/morning-money	https://www.nytimes.com/2019/04/25/business/dealbook/microsoft-1-trillion.html
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/magazine/tag/rich-lowry
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/terms-of-service
https://www.politico.com/tipsheets/morning-money	mailto:vguida@politico.com
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/careers
https://www.politico.com/tipsheets/morning-money	https://login.politico.com/_login?base=https%3A%2F%2Fwww.politico.com&amp;redirect=%2F_login&amp;logout=%2F_logout&amp;lRedirect=true&amp;sRedirect=%2Fsettings&amp;js=false
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/WomenRule
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2019/04/22/the-impeachment-conundrum-427109
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/employment-immigration
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/story/2019/04/27/carl-kline-security-clearances-cummings-1291373
https://www.politico.com/tipsheets/morning-money	http://api.addthis.com/oexchange/0.8/forward/twitter/offer?pco=tbx32nj-1.0&amp;url=https://politi.co/2DvVOT5&amp;text=Why the economy isn't lifting Trump&amp;pubid=politico.com&amp;via=politico
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/magazine/tag/fourth-estate
https://www.politico.com/tipsheets/morning-money	https://static3.politico.com/resource/assets/css/style-core.min.40ef50ed97ac78fafb35a398c922d44d.gz.css
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2019/04/26/why-the-economy-isnt-lifting-trump-429269
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/story/2019/04/28/bernie-sanders-elizabeth-warren-2020-1291368
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/feedback
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/agenda/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-60x60.png
https://www.politico.com/tipsheets/morning-money	mailto:bwhite@politico.com
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/bd69088/2147483647/legacy_thumbnail/144x144/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/about-us
https://www.politico.com/tipsheets/morning-money	https://www.politicopro.com/
https://www.politico.com/tipsheets/morning-money	https://login.politico.com/_logout?base=https%3A%2F%2Fwww.politico.com&amp;redirect=%2F_logout&amp;js=false
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/rss
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/huddle/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/states/california
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/rss/morningmoney.xml
